"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"25091","1363.682943","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12647, 2.03 Valid","0.000782000"
"25131","1368.962276","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:60503, POST, coap://192.168.3.103/sensor","5.279333000"
"25132","1368.963102","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12648, 2.03 Valid","0.000826000"
"25179","1374.242940","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:49724, POST, coap://192.168.3.103/sensor","5.279838000"
"25180","1374.243737","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12649, 2.03 Valid","0.000797000"
"25206","1379.519877","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:12189, POST, coap://192.168.3.103/sensor","5.276140000"
"25207","1379.520657","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12650, 2.03 Valid","0.000780000"
"25240","1384.798902","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:10127, POST, coap://192.168.3.103/sensor","5.278245000"
"25241","1384.799724","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12651, 2.03 Valid","0.000822000"
"25269","1390.079861","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:21620, POST, coap://192.168.3.103/sensor","5.280137000"
"25270","1390.080619","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12652, 2.03 Valid","0.000758000"
"25311","1395.362547","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3309, POST, coap://192.168.3.103/sensor","5.281928000"
"25312","1395.363316","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12653, 2.03 Valid","0.000769000"
"25363","1400.641143","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:52290, POST, coap://192.168.3.103/sensor","5.277827000"
"25364","1400.642070","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12654, 2.03 Valid","0.000927000"
"25411","1405.924770","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:26260, POST, coap://192.168.3.103/sensor","5.282700000"
"25412","1405.925595","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12655, 2.03 Valid","0.000825000"
"25465","1411.201485","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56355, POST, coap://192.168.3.103/sensor","5.275890000"
"25466","1411.202252","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12656, 2.03 Valid","0.000767000"
"25491","1416.487500","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:32932, POST, coap://192.168.3.103/sensor","5.285248000"
"25492","1416.488396","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12657, 2.03 Valid","0.000896000"
"25526","1421.762707","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:46842, POST, coap://192.168.3.103/sensor","5.274311000"
"25527","1421.763494","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12658, 2.03 Valid","0.000787000"
"25559","1427.041250","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15763, POST, coap://192.168.3.103/sensor","5.277756000"
"25560","1427.042031","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12659, 2.03 Valid","0.000781000"
"25631","1432.322288","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:44279, POST, coap://192.168.3.103/sensor","5.280257000"
"25632","1432.323086","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12660, 2.03 Valid","0.000798000"
"25770","1437.603954","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:8620, POST, coap://192.168.3.103/sensor","5.280868000"
"25771","1437.604758","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12661, 2.03 Valid","0.000804000"
"25866","1442.881810","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14313, POST, coap://192.168.3.103/sensor","5.277052000"
"25867","1442.882651","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12662, 2.03 Valid","0.000841000"
"25908","1448.161731","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28951, POST, coap://192.168.3.103/sensor","5.279080000"
"25909","1448.162542","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12663, 2.03 Valid","0.000811000"
"25975","1453.442000","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:10026, POST, coap://192.168.3.103/sensor","5.279458000"
"25976","1453.442792","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12664, 2.03 Valid","0.000792000"
"26019","1458.733447","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:58479, POST, coap://192.168.3.103/sensor","5.290655000"
"26020","1458.734271","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12665, 2.03 Valid","0.000824000"
"26093","1464.005674","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:18900, POST, coap://192.168.3.103/sensor","5.271403000"
"26094","1464.006327","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12666, 2.03 Valid","0.000653000"
"26144","1469.282922","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:21419, POST, coap://192.168.3.103/sensor","5.276595000"
"26145","1469.283722","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12667, 2.03 Valid","0.000800000"
"26179","1474.564598","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14526, POST, coap://192.168.3.103/sensor","5.280876000"
"26180","1474.565432","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12668, 2.03 Valid","0.000834000"
"26226","1479.845773","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:29824, POST, coap://192.168.3.103/sensor","5.280341000"
"26227","1479.846573","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12669, 2.03 Valid","0.000800000"
"26331","1485.122469","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:34687, POST, coap://192.168.3.103/sensor","5.275896000"
"26332","1485.123279","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12670, 2.03 Valid","0.000810000"
"26405","1490.406460","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:31357, POST, coap://192.168.3.103/sensor","5.283181000"
"26406","1490.407173","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12671, 2.03 Valid","0.000713000"
"26481","1495.684922","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14103, POST, coap://192.168.3.103/sensor","5.277749000"
"26482","1495.685701","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12672, 2.03 Valid","0.000779000"
"26533","1500.965534","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:50053, POST, coap://192.168.3.103/sensor","5.279833000"
"26534","1500.966462","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12673, 2.03 Valid","0.000928000"
"26563","1506.247344","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3999, POST, coap://192.168.3.103/sensor","5.280882000"
"26564","1506.248068","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12674, 2.03 Valid","0.000724000"
"26599","1511.525727","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:60382, POST, coap://192.168.3.103/sensor","5.277659000"
"26600","1511.526550","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12675, 2.03 Valid","0.000823000"
"26660","1516.803860","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:17985, POST, coap://192.168.3.103/sensor","5.277310000"
"26661","1516.804624","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12676, 2.03 Valid","0.000764000"
"26696","1522.085947","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28149, POST, coap://192.168.3.103/sensor","5.281323000"
"26697","1522.086721","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12677, 2.03 Valid","0.000774000"
"26759","1527.363882","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:23818, POST, coap://192.168.3.103/sensor","5.277161000"
"26760","1527.364693","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12678, 2.03 Valid","0.000811000"
"26813","1532.645673","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:64558, POST, coap://192.168.3.103/sensor","5.280980000"
"26814","1532.646445","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12679, 2.03 Valid","0.000772000"
"26855","1537.926004","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:1661, POST, coap://192.168.3.103/sensor","5.279559000"
"26856","1537.926724","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12680, 2.03 Valid","0.000720000"
"26894","1543.204851","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:64295, POST, coap://192.168.3.103/sensor","5.278127000"
"26895","1543.205668","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12681, 2.03 Valid","0.000817000"
"26994","1548.486575","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:64270, POST, coap://192.168.3.103/sensor","5.280907000"
"26995","1548.487410","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12682, 2.03 Valid","0.000835000"
"27149","1553.769818","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:37756, POST, coap://192.168.3.103/sensor","5.282408000"
"27150","1553.770619","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12683, 2.03 Valid","0.000801000"
"27201","1559.046694","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15248, POST, coap://192.168.3.103/sensor","5.276075000"
