No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
124633,1193.805778,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.240295,5.292573999999831
124687,1199.047027,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.197354,5.241249000000153
124757,1203.93852,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],2.64909,4.891492999999855
124864,1209.99604,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.014304,6.057520000000068
124909,1215.196427,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.146676,5.200387000000092
124961,1221.042202,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.806014,5.845775000000003
124994,1225.657755,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.563776,4.6155529999998635
125022,1230.748146,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.049846,5.090390999999954
125078,1235.984983,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.196482,5.2368370000001505
125119,1241.23599,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.202883,5.251006999999845
125147,1246.584867,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.29403,5.3488770000001296
125182,1251.834063,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.201879,5.2491959999999835
125204,1256.315998,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.442395,4.481935000000021
125237,1262.315354,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.691591,5.999356000000034
125270,1267.380558,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.012439,5.065203999999994
125303,1272.569499,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.141584,5.188940999999886
125348,1277.732076,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.114761,5.162577000000056
125463,1283.436137,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.658778,5.704060999999911
125501,1288.728782,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.240116,5.292644999999993
125543,1293.742064,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.970155,5.0132820000001175
125580,1299.102715,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.308789,5.360650999999962
132184,1304.898238,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.750495,5.795523000000003
132249,1309.336444,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.398809,4.4382060000000365
132437,1314.954688,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.566619,5.618244000000004
132475,1320.373206,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.374338,5.418517999999949
132524,1325.780143,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],3.714698,5.406936999999971
132565,1331.264154,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.433755,5.4840110000000095
132604,1335.696747,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.380219,4.432592999999997
132649,1341.163656,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.421776,5.466908999999987
132714,1346.758594,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.544225,5.5949379999999564
132744,1352.156912,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.343598,5.3983180000000175
132774,1357.14046,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.935472,4.983548000000155
132809,1362.163969,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.972395,5.023508999999876
132856,1367.476906,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.262713,5.312937000000147
132921,1373.63069,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.103475,6.15378399999986
132973,1378.340171,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.656388,4.709481000000096
133005,1383.291266,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.801157,4.951094999999896
133047,1388.686347,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.343632,5.395081000000118
133080,1393.748772,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.011509,5.062424999999848
133116,1399.126694,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.329135,5.377922000000126
133219,1404.55162,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.371348,5.424925999999914
133257,1410.082855,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.488296,5.531235000000152
133301,1415.62544,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.496874,5.542584999999917
133343,1420.29898,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.6217,4.673540000000003
133386,1425.672329,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.327813,5.373348999999962
133424,1431.596856,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.874845,5.924526999999898
133455,1436.871565,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.230213,5.27470900000003
133483,1441.292546,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.379944,4.420980999999983
133525,1446.519345,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],2.773771,5.226799000000028
133560,1452.02398,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.451917,5.5046350000000075
133619,1457.449685,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.382165,5.425705000000107
133652,1462.920393,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.420561,5.470708000000059
133689,1468.690708,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.718835,5.770314999999982
133720,1473.45652,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.720274,4.765811999999869
133757,1478.624596,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.118607,5.1680760000001555
133787,1483.606732,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.933817,4.982135999999855
133819,1488.820242,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.162315,5.213510000000042
133843,1494.22527,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.355786,5.405027999999902
133920,1499.938547,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.665199,5.713277000000062
133981,1505.015286,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.161151,5.076739000000089
134009,1510.72326,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.667812,5.707973999999922
134032,1515.631974,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.863793,4.908713999999918
134068,1521.503202,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.826317,5.871228000000201
134094,1526.47548,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.92431,4.97227799999996
134130,1531.734616,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.205052,5.259135999999899
134166,1537.102933,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.323626,5.368316999999934
134194,1541.765599,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.617504,4.662666000000172
134222,1547.125655,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.311287,5.360055999999986
134266,1552.212336,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.037141,5.086680999999999
134307,1557.978357,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.720682,5.76602099999991
134327,1562.811235,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.781637,4.832877999999937
134384,1568.552228,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],3.299498,5.740993000000117
134412,1573.97832,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.380787,5.426091999999926
134455,1579.501524,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.472201,5.523204000000078
134594,1584.959355,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.409813,5.457830999999942
134625,1589.776517,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.771479,4.817162000000053
136386,1594.451657,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.621613,4.675140000000056
136432,1600.136478,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.63462,5.684820999999829
136455,1605.556527,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.375362,5.420049000000063
136494,1610.797134,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.192911,5.2406069999999545
136525,1616.253484,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.40382,5.456350000000157
136550,1621.900027,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.5931,5.646542999999838
136585,1626.719116,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.104925,4.819089000000076
136618,1631.572577,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.81136,4.853460999999925
136647,1636.721962,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.098346,5.149385000000166
136681,1642.528196,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.758928,5.806233999999904
136737,1648.105428,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.52403,5.577232000000095
136845,1653.749933,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.593164,5.644504999999981
136909,1658.124721,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.331051,4.374787999999853
137018,1663.307782,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.130771,5.18306100000018
137058,1668.757037,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.406163,5.449254999999994
137108,1673.656525,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.851212,4.899488000000019
137141,1678.744064,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.04352,5.087538999999879
137184,1684.339395,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.545311,5.595330999999987
137249,1689.419996,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.057627,5.080601000000115
137320,1694.888757,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.421248,5.4687609999998585
137349,1699.966427,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.03598,5.077670000000126
137414,1705.688903,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.680974,5.722475999999915
137448,1710.62574,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.887052,4.936836999999969
137484,1715.74265,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.065257,5.116909999999962
137522,1722.016098,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.226643,6.273448000000144
137549,1726.500714,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.444123,4.48461599999996
137581,1731.73171,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.182363,5.230996000000005
137615,1737.014329,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.231589,5.282619000000068
137636,1741.926391,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.861269,4.912061999999878
137677,1747.248513,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.271768,5.322122000000036
137711,1752.366965,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.063503,5.118451999999934
137782,1758.22995,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.812554,5.862984999999981
138204,1763.926947,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.648264,5.69699700000001
138233,1768.865227,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.885677,4.938280000000077
138280,1773.967607,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.054834,5.102380000000039
138323,1778.955412,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.937445,4.98780499999998
138369,1784.185346,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.184707,5.2299339999999575
138435,1790.00177,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.771001,5.816424000000097
138461,1795.359828,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.316116,5.358058000000028
138489,1800.799093,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.393396,5.439264999999978
