No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
96310,275.288388,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.380528,5.431599000000006
96354,280.849477,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.506929,5.561088999999981
96399,286.774115,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.879662,5.924638000000016
96438,291.439105,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.618727,4.664989999999989
96479,297.608834,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],3.688581,6.169729000000018
96530,302.029206,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.365814,4.420371999999986
96571,307.089712,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.009072,5.060506000000032
96607,312.057004,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.918778,4.967291999999986
96642,317.317539,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.217592,5.260535000000004
96691,322.66153,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.290153,5.343991000000017
96732,327.99724,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.294128,5.335709999999949
96764,333.15652,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.11081,5.159280000000024
96802,338.33156,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.131211,5.175040000000024
96837,344.259731,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.877141,5.928170999999963
96894,348.965831,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.657417,4.706099999999992
96952,354.577971,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.018894,5.612140000000011
96990,359.768152,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.147136,5.1901809999999955
97032,364.857948,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.044583,5.089796000000035
97075,370.891635,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.983533,6.033686999999986
97111,375.717735,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.779665,4.826099999999997
97239,381.737309,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.971481,6.019573999999977
97277,386.331241,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.546196,4.593931999999995
97343,391.954757,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.572806,5.623515999999995
97374,396.84596,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.84625,4.891203000000019
97402,401.904627,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.004591,5.058667000000014
97447,407.435856,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.48875,5.531228999999996
97479,413.071559,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.591182,5.635702999999978
97767,418.877296,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.375601,5.805737000000022
97829,424.288783,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.369585,5.411487000000022
97898,429.518936,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.188263,5.230152999999973
97933,434.05164,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.487225,4.532704000000024
97977,440.187111,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.093998,6.1354709999999955
98035,444.937916,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.700584,4.750804999999957
98085,449.756721,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.776958,4.818805000000054
98159,454.800396,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.995904,5.043674999999951
98192,459.943813,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.098257,5.1434169999999995
98223,465.337585,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.344636,5.393772000000013
98275,470.754792,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.367811,5.417207000000019
98311,475.845759,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.85247,5.090966999999978
