"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"12106","758.515398","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:54521, POST, coap://192.168.3.103/sensor","5.282298000"
"12107","758.516148","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49144, 2.03 Valid","0.000750000"
"12172","763.798546","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:59362, POST, coap://192.168.3.103/sensor","5.282398000"
"12173","763.799390","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49145, 2.03 Valid","0.000844000"
"12209","769.072239","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:8855, POST, coap://192.168.3.103/sensor","5.272849000"
"12210","769.073024","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49146, 2.03 Valid","0.000785000"
"12256","774.361887","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:3437, POST, coap://192.168.3.103/sensor","5.288863000"
"12257","774.362673","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49147, 2.03 Valid","0.000786000"
"12288","779.636219","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28154, POST, coap://192.168.3.103/sensor","5.273546000"
"12289","779.637021","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49148, 2.03 Valid","0.000802000"
"12314","784.912968","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:35000, POST, coap://192.168.3.103/sensor","5.275947000"
"12315","784.913770","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49149, 2.03 Valid","0.000802000"
"12405","790.194543","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:18071, POST, coap://192.168.3.103/sensor","5.280773000"
"12406","790.195343","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49150, 2.03 Valid","0.000800000"
"12431","795.472898","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:11550, POST, coap://192.168.3.103/sensor","5.277555000"
"12432","795.473748","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49151, 2.03 Valid","0.000850000"
"12458","800.751475","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:51189, POST, coap://192.168.3.103/sensor","5.277727000"
"12459","800.752244","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49152, 2.03 Valid","0.000769000"
"12510","806.032051","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:46397, POST, coap://192.168.3.103/sensor","5.279807000"
"12511","806.032844","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49153, 2.03 Valid","0.000793000"
"12571","811.314120","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:26431, POST, coap://192.168.3.103/sensor","5.281276000"
"12572","811.314937","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49154, 2.03 Valid","0.000817000"
"12618","816.591971","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56029, POST, coap://192.168.3.103/sensor","5.277034000"
"12619","816.592756","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49155, 2.03 Valid","0.000785000"
"12651","821.874003","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:27345, POST, coap://192.168.3.103/sensor","5.281247000"
"12652","821.874810","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49156, 2.03 Valid","0.000807000"
"12767","827.152464","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:23487, POST, coap://192.168.3.103/sensor","5.277654000"
"12768","827.153257","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49157, 2.03 Valid","0.000793000"
"12801","832.434538","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:9639, POST, coap://192.168.3.103/sensor","5.281281000"
"12802","832.435358","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49158, 2.03 Valid","0.000820000"
"12842","837.713571","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56949, POST, coap://192.168.3.103/sensor","5.278213000"
"12843","837.714379","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49159, 2.03 Valid","0.000808000"
"12909","842.993021","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:46353, POST, coap://192.168.3.103/sensor","5.278642000"
"12910","842.993817","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49160, 2.03 Valid","0.000796000"
"12983","848.273433","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:14758, POST, coap://192.168.3.103/sensor","5.279616000"
"12984","848.274199","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49161, 2.03 Valid","0.000766000"
"13012","853.553785","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:25382, POST, coap://192.168.3.103/sensor","5.279586000"
"13013","853.554617","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49162, 2.03 Valid","0.000832000"
"13040","858.835886","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28355, POST, coap://192.168.3.103/sensor","5.281269000"
"13041","858.836780","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49163, 2.03 Valid","0.000894000"
"13086","864.116908","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:55339, POST, coap://192.168.3.103/sensor","5.280128000"
"13087","864.117789","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49164, 2.03 Valid","0.000881000"
"13122","869.397988","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:22388, POST, coap://192.168.3.103/sensor","5.280199000"
"13123","869.398695","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49165, 2.03 Valid","0.000707000"
"13237","874.672916","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:23717, POST, coap://192.168.3.103/sensor","5.274221000"
"13238","874.673721","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49166, 2.03 Valid","0.000805000"
"13275","879.952868","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:2789, POST, coap://192.168.3.103/sensor","5.279147000"
"13276","879.953673","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49167, 2.03 Valid","0.000805000"
"13304","885.235006","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:56609, POST, coap://192.168.3.103/sensor","5.281333000"
"13305","885.235861","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49168, 2.03 Valid","0.000855000"
"13356","890.514589","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:47913, POST, coap://192.168.3.103/sensor","5.278728000"
"13357","890.515378","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49169, 2.03 Valid","0.000789000"
"13392","895.793575","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:9959, POST, coap://192.168.3.103/sensor","5.278197000"
"13393","895.794367","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49170, 2.03 Valid","0.000792000"
"13422","901.072575","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:26592, POST, coap://192.168.3.103/sensor","5.278208000"
"13423","901.073388","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49171, 2.03 Valid","0.000813000"
"13501","906.356793","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:20663, POST, coap://192.168.3.103/sensor","5.283405000"
"13502","906.357606","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49172, 2.03 Valid","0.000813000"
"13562","911.632085","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:55429, POST, coap://192.168.3.103/sensor","5.274479000"
"13563","911.632893","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49173, 2.03 Valid","0.000808000"
"13619","916.917691","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:38908, POST, coap://192.168.3.103/sensor","5.284798000"
"13620","916.918503","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49174, 2.03 Valid","0.000812000"
"13652","922.191849","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:37965, POST, coap://192.168.3.103/sensor","5.273346000"
