"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"1656","255.856866","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:36566, 2.04 Changed","0.000742000"
"1668","261.141468","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:203, POST, coap://192.168.18.96/sensor","5.284602000"
"1669","261.142144","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:203, 2.04 Changed","0.000676000"
"1672","266.413892","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:58041, POST, coap://192.168.18.96/sensor","5.271748000"
"1673","266.414695","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:58041, 2.04 Changed","0.000803000"
"1724","271.693506","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:37386, POST, coap://192.168.18.96/sensor","5.278811000"
"1725","271.694209","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:37386, 2.04 Changed","0.000703000"
"1732","276.972505","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:54867, POST, coap://192.168.18.96/sensor","5.278296000"
"1733","276.973299","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:54867, 2.04 Changed","0.000794000"
"1742","282.251408","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:36729, POST, coap://192.168.18.96/sensor","5.278109000"
"1743","282.252160","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:36729, 2.04 Changed","0.000752000"
"1750","287.534088","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:53572, POST, coap://192.168.18.96/sensor","5.281928000"
"1751","287.534934","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:53572, 2.04 Changed","0.000846000"
"1759","292.816071","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:21532, POST, coap://192.168.18.96/sensor","5.281137000"
"1760","292.816969","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:21532, 2.04 Changed","0.000898000"
"1761","298.094142","192.168.18.76","192.168.18.96","CoAP","83","CON, MID:14161, POST, coap://192.168.18.96/sensor","5.277173000"
"1762","298.094934","192.168.18.96","192.168.18.76","CoAP","75","ACK, MID:14161, 2.04 Changed","0.000792000"
